Numer_zgloszenia;Czas_naprawy;Rodzaj
145;27.01.2015 22:29;wymiana
134;28.01.2015 02:04;restart
132;28.01.2015 07:16;restart
117;28.01.2015 14:34;restart
129;28.01.2015 15:03;wymiana
138;28.01.2015 15:21;restart
142;28.01.2015 16:27;restart
123;28.01.2015 18:52;wymiana
114;28.01.2015 21:16;wymiana
115;28.01.2015 21:48;wymiana
136;28.01.2015 22:32;restart
140;29.01.2015 02:23;wymiana
143;29.01.2015 05:15;wymiana
119;29.01.2015 06:41;restart
128;29.01.2015 09:18;restart
135;29.01.2015 09:22;restart
148;29.01.2015 11:52;restart
145;29.01.2015 13:32;restart
149;29.01.2015 18:48;restart
142;29.01.2015 20:20;wymiana
133;29.01.2015 20:30;restart
147;29.01.2015 21:34;restart
155;29.01.2015 22:26;wymiana
131;30.01.2015 03:50;wymiana
130;30.01.2015 05:42;wymiana
154;30.01.2015 07:29;wymiana
125;30.01.2015 08:17;wymiana
120;30.01.2015 13:41;restart
126;30.01.2015 15:01;restart
128;30.01.2015 15:52;restart
136;30.01.2015 16:33;restart
144;30.01.2015 18:22;restart
165;30.01.2015 19:02;restart
128;30.01.2015 19:44;wymiana
128;30.01.2015 21:15;restart
149;31.01.2015 05:52;wymiana
167;31.01.2015 06:24;wymiana
149;31.01.2015 07:13;restart
160;31.01.2015 15:03;wymiana
147;31.01.2015 18:26;wymiana
161;31.01.2015 23:22;wymiana
132;01.02.2015 00:32;restart
151;01.02.2015 03:12;restart
157;01.02.2015 03:42;restart
170;01.02.2015 04:26;restart
137;01.02.2015 06:06;restart
167;01.02.2015 06:26;restart
132;01.02.2015 07:27;restart
164;01.02.2015 08:35;wymiana
153;01.02.2015 10:57;wymiana
163;01.02.2015 13:08;restart
136;01.02.2015 13:14;restart
157;01.02.2015 13:15;restart
142;01.02.2015 15:11;restart
182;01.02.2015 16:48;wymiana
169;01.02.2015 21:50;wymiana
142;01.02.2015 23:01;wymiana
177;02.02.2015 00:50;restart
171;02.02.2015 03:46;restart
150;02.02.2015 05:23;restart
167;02.02.2015 05:48;wymiana
167;02.02.2015 06:23;wymiana
176;02.02.2015 08:21;wymiana
168;02.02.2015 08:50;wymiana
158;02.02.2015 11:10;wymiana
149;02.02.2015 12:14;wymiana
183;02.02.2015 13:04;restart
158;02.02.2015 18:39;wymiana
149;02.02.2015 20:09;restart
185;03.02.2015 02:30;wymiana
185;03.02.2015 04:21;wymiana
184;03.02.2015 06:39;restart
152;03.02.2015 07:23;restart
177;03.02.2015 08:26;restart
157;03.02.2015 09:10;wymiana
191;03.02.2015 11:23;wymiana
170;03.02.2015 12:00;restart
172;03.02.2015 14:11;restart
170;03.02.2015 15:50;restart
172;03.02.2015 15:53;restart
186;03.02.2015 16:06;restart
191;03.02.2015 18:01;wymiana
170;03.02.2015 20:29;restart
146;03.02.2015 20:31;restart
164;03.02.2015 23:46;restart
190;04.02.2015 01:48;wymiana
188;04.02.2015 01:53;wymiana
193;04.02.2015 03:11;wymiana
157;04.02.2015 04:48;wymiana
172;04.02.2015 05:00;restart
162;04.02.2015 07:42;wymiana
190;04.02.2015 08:43;restart
178;04.02.2015 08:56;restart
154;04.02.2015 10:42;wymiana
193;04.02.2015 15:19;restart
164;04.02.2015 15:19;wymiana
195;04.02.2015 17:21;restart
164;04.02.2015 17:37;restart
159;04.02.2015 19:36;restart
175;04.02.2015 21:28;restart
166;05.02.2015 00:11;restart
172;05.02.2015 01:27;restart
156;05.02.2015 01:28;restart
185;05.02.2015 02:14;wymiana
191;05.02.2015 02:20;restart
194;05.02.2015 02:35;restart
184;05.02.2015 04:05;wymiana
200;05.02.2015 05:37;wymiana
158;05.02.2015 06:25;restart
154;05.02.2015 06:31;restart
180;05.02.2015 06:54;wymiana
167;05.02.2015 07:14;wymiana
174;05.02.2015 07:43;wymiana
178;05.02.2015 08:11;wymiana
154;05.02.2015 09:51;wymiana
168;05.02.2015 10:30;restart
173;05.02.2015 14:03;restart
172;05.02.2015 14:15;wymiana
164;05.02.2015 14:42;restart
184;05.02.2015 14:53;wymiana
177;05.02.2015 15:42;wymiana
194;05.02.2015 18:03;restart
198;05.02.2015 21:45;wymiana
157;05.02.2015 21:50;wymiana
205;06.02.2015 00:06;restart
198;06.02.2015 01:02;wymiana
199;06.02.2015 02:52;wymiana
178;06.02.2015 04:20;wymiana
188;06.02.2015 04:53;restart
201;06.02.2015 09:17;restart
204;06.02.2015 09:41;wymiana
187;06.02.2015 11:49;restart
181;06.02.2015 12:52;wymiana
204;06.02.2015 14:48;restart
205;06.02.2015 15:04;wymiana
196;06.02.2015 15:23;restart
206;06.02.2015 15:26;wymiana
200;06.02.2015 16:51;wymiana
177;06.02.2015 17:42;restart
188;06.02.2015 20:27;wymiana
179;06.02.2015 20:27;restart
173;06.02.2015 22:26;wymiana
194;06.02.2015 22:57;restart
183;07.02.2015 00:50;restart
189;07.02.2015 01:51;wymiana
202;07.02.2015 01:58;wymiana
182;07.02.2015 02:45;restart
178;07.02.2015 05:05;restart
205;07.02.2015 07:16;restart
188;07.02.2015 07:18;wymiana
210;07.02.2015 08:34;restart
205;07.02.2015 09:50;wymiana
173;07.02.2015 12:39;wymiana
175;07.02.2015 14:10;restart
173;07.02.2015 14:37;restart
178;07.02.2015 17:28;restart
175;07.02.2015 18:06;restart
208;07.02.2015 18:19;wymiana
191;07.02.2015 21:00;wymiana
198;07.02.2015 21:04;wymiana
203;08.02.2015 01:14;wymiana
192;08.02.2015 05:47;restart
190;08.02.2015 13:12;wymiana
197;08.02.2015 14:34;wymiana
193;08.02.2015 18:38;restart
204;08.02.2015 21:56;restart
188;08.02.2015 22:00;wymiana
224;08.02.2015 22:09;restart
191;09.02.2015 04:16;restart
212;09.02.2015 06:38;restart
221;09.02.2015 12:29;restart
218;09.02.2015 14:31;restart
228;09.02.2015 16:15;restart
194;09.02.2015 17:27;wymiana
219;10.02.2015 00:18;restart
229;10.02.2015 04:11;wymiana
206;10.02.2015 07:15;wymiana
211;10.02.2015 07:32;restart
223;10.02.2015 12:10;restart
216;10.02.2015 13:07;wymiana
231;10.02.2015 13:21;wymiana
222;10.02.2015 17:40;wymiana
230;10.02.2015 19:47;wymiana
235;11.02.2015 03:35;restart
217;11.02.2015 06:44;wymiana
200;11.02.2015 09:15;restart
214;11.02.2015 13:43;restart
229;11.02.2015 21:04;wymiana
229;11.02.2015 23:11;restart
207;12.02.2015 03:24;wymiana
241;12.02.2015 07:10;restart
241;12.02.2015 07:27;wymiana
240;12.02.2015 21:24;restart
209;12.02.2015 23:18;restart
233;12.02.2015 23:48;wymiana
212;13.02.2015 00:00;restart
246;13.02.2015 03:51;wymiana
206;13.02.2015 07:25;wymiana
215;13.02.2015 08:37;restart
213;13.02.2015 10:19;wymiana
223;13.02.2015 15:00;restart
232;13.02.2015 15:28;restart
234;13.02.2015 18:06;restart
226;13.02.2015 20:21;wymiana
239;13.02.2015 22:58;wymiana
249;13.02.2015 23:09;restart
236;13.02.2015 23:12;restart
225;14.02.2015 00:10;restart
220;14.02.2015 01:35;wymiana
217;14.02.2015 04:26;wymiana
261;14.02.2015 18:04;restart
217;14.02.2015 18:10;wymiana
227;14.02.2015 18:18;restart
254;14.02.2015 22:31;restart
262;15.02.2015 00:28;wymiana
242;15.02.2015 00:59;wymiana
263;15.02.2015 01:28;restart
264;15.02.2015 05:51;wymiana
256;15.02.2015 09:54;restart
239;15.02.2015 13:51;restart
262;15.02.2015 14:38;wymiana
255;15.02.2015 14:52;restart
251;15.02.2015 16:11;wymiana
265;15.02.2015 17:41;wymiana
247;15.02.2015 22:21;restart
267;15.02.2015 23:00;wymiana
237;16.02.2015 03:49;wymiana
267;16.02.2015 07:58;restart
239;16.02.2015 17:21;restart
253;16.02.2015 18:09;wymiana
267;16.02.2015 18:18;restart
273;16.02.2015 19:32;restart
265;16.02.2015 22:41;restart
274;17.02.2015 01:00;wymiana
254;17.02.2015 03:20;restart
270;17.02.2015 04:58;restart
263;17.02.2015 05:15;restart
250;17.02.2015 06:02;restart
248;17.02.2015 08:55;restart
238;17.02.2015 15:55;restart
276;18.02.2015 01:28;restart
277;18.02.2015 03:29;restart
260;18.02.2015 05:13;wymiana
276;18.02.2015 06:58;restart
261;18.02.2015 08:31;restart
243;18.02.2015 10:56;wymiana
257;18.02.2015 13:14;wymiana
239;18.02.2015 13:35;wymiana
252;18.02.2015 13:57;restart
257;18.02.2015 14:31;restart
272;18.02.2015 15:25;wymiana
258;18.02.2015 15:30;wymiana
239;18.02.2015 15:49;wymiana
270;18.02.2015 15:55;wymiana
257;18.02.2015 16:23;restart
288;18.02.2015 21:44;wymiana
243;18.02.2015 21:55;restart
245;18.02.2015 23:15;wymiana
259;19.02.2015 00:23;wymiana
244;19.02.2015 02:04;restart
268;19.02.2015 07:00;restart
268;19.02.2015 13:09;restart
282;19.02.2015 14:51;restart
265;19.02.2015 16:39;restart
281;19.02.2015 16:54;wymiana
288;19.02.2015 18:33;restart
293;19.02.2015 21:53;wymiana
294;19.02.2015 22:57;restart
263;19.02.2015 23:31;wymiana
285;19.02.2015 23:53;restart
267;20.02.2015 03:11;wymiana
248;20.02.2015 04:01;wymiana
280;20.02.2015 04:20;wymiana
287;20.02.2015 05:23;wymiana
276;20.02.2015 05:33;restart
276;20.02.2015 07:57;restart
261;20.02.2015 11:47;wymiana
265;20.02.2015 17:10;restart
300;20.02.2015 17:24;wymiana
300;20.02.2015 19:18;wymiana
301;20.02.2015 19:22;restart
268;20.02.2015 20:07;wymiana
286;20.02.2015 21:54;wymiana
306;20.02.2015 22:10;wymiana
278;20.02.2015 23:52;restart
298;21.02.2015 00:39;restart
261;21.02.2015 01:57;wymiana
268;21.02.2015 02:47;restart
271;21.02.2015 03:14;restart
261;21.02.2015 05:33;restart
303;21.02.2015 05:35;restart
263;21.02.2015 09:30;restart
282;21.02.2015 14:25;wymiana
285;21.02.2015 15:26;wymiana
263;21.02.2015 17:06;wymiana
292;21.02.2015 17:32;restart
284;21.02.2015 22:28;restart
300;21.02.2015 23:46;restart
285;21.02.2015 23:49;restart
275;22.02.2015 00:49;restart
284;22.02.2015 02:41;wymiana
303;22.02.2015 03:16;restart
302;22.02.2015 03:44;restart
288;22.02.2015 04:45;restart
270;22.02.2015 05:05;wymiana
286;22.02.2015 07:04;wymiana
269;22.02.2015 09:09;restart
303;22.02.2015 09:51;wymiana
287;22.02.2015 10:13;wymiana
295;22.02.2015 10:50;restart
266;22.02.2015 11:35;wymiana
306;22.02.2015 14:35;restart
317;22.02.2015 14:50;wymiana
314;22.02.2015 14:59;restart
284;22.02.2015 16:54;wymiana
267;22.02.2015 16:59;wymiana
287;22.02.2015 17:05;restart
297;22.02.2015 17:53;wymiana
300;22.02.2015 18:01;wymiana
318;22.02.2015 18:24;wymiana
279;22.02.2015 20:56;wymiana
310;22.02.2015 21:41;restart
311;22.02.2015 22:03;wymiana
310;22.02.2015 22:16;wymiana
296;22.02.2015 23:01;wymiana
270;22.02.2015 23:37;wymiana
290;23.02.2015 01:41;wymiana
306;23.02.2015 03:01;wymiana
291;23.02.2015 06:00;restart
304;23.02.2015 10:40;wymiana
313;23.02.2015 13:52;wymiana
320;23.02.2015 13:54;restart
296;23.02.2015 15:26;wymiana
283;23.02.2015 20:11;restart
319;23.02.2015 20:47;restart
307;23.02.2015 22:11;wymiana
316;23.02.2015 23:54;wymiana
303;24.02.2015 00:27;restart
304;24.02.2015 00:45;restart
318;24.02.2015 01:19;restart
299;24.02.2015 02:31;restart
306;24.02.2015 07:58;wymiana
291;24.02.2015 08:24;restart
301;24.02.2015 10:12;restart
310;24.02.2015 12:14;restart
326;24.02.2015 12:35;wymiana
305;24.02.2015 12:36;wymiana
323;24.02.2015 14:10;restart
289;24.02.2015 14:58;wymiana
324;24.02.2015 16:41;restart
284;24.02.2015 19:06;wymiana
300;24.02.2015 19:36;restart
304;24.02.2015 19:37;restart
317;24.02.2015 21:12;wymiana
310;24.02.2015 21:18;restart
287;24.02.2015 22:56;wymiana
308;24.02.2015 22:58;restart
316;24.02.2015 23:41;wymiana
324;25.02.2015 02:39;wymiana
329;25.02.2015 02:52;wymiana
287;25.02.2015 04:41;wymiana
303;25.02.2015 07:20;restart
337;25.02.2015 09:28;wymiana
298;25.02.2015 14:46;wymiana
327;25.02.2015 16:06;wymiana
340;25.02.2015 18:24;restart
304;25.02.2015 19:19;wymiana
329;25.02.2015 20:48;wymiana
317;25.02.2015 23:38;wymiana
297;26.02.2015 02:15;wymiana
317;26.02.2015 02:49;restart
310;26.02.2015 08:40;wymiana
345;26.02.2015 10:55;restart
321;26.02.2015 12:25;restart
336;26.02.2015 13:59;restart
306;26.02.2015 14:09;restart
344;26.02.2015 16:04;restart
333;26.02.2015 18:25;wymiana
332;26.02.2015 19:53;wymiana
301;26.02.2015 21:34;restart
328;26.02.2015 21:42;wymiana
318;26.02.2015 22:37;wymiana
339;27.02.2015 00:03;restart
330;27.02.2015 02:15;wymiana
312;27.02.2015 04:07;wymiana
323;27.02.2015 05:34;restart
323;27.02.2015 05:51;wymiana
318;27.02.2015 09:02;restart
334;27.02.2015 11:16;restart
347;27.02.2015 14:53;restart
324;27.02.2015 15:34;restart
316;27.02.2015 15:42;wymiana
351;27.02.2015 18:44;wymiana
318;27.02.2015 19:10;restart
316;27.02.2015 20:47;wymiana
346;27.02.2015 20:53;wymiana
348;27.02.2015 23:00;wymiana
346;28.02.2015 00:56;wymiana
322;28.02.2015 01:02;restart
349;28.02.2015 04:48;restart
357;28.02.2015 07:45;wymiana
353;28.02.2015 07:51;restart
309;28.02.2015 09:12;restart
342;28.02.2015 09:28;wymiana
317;28.02.2015 09:42;wymiana
329;28.02.2015 13:55;wymiana
322;28.02.2015 18:58;wymiana
324;28.02.2015 20:20;wymiana
316;28.02.2015 22:16;restart
361;28.02.2015 22:25;restart
347;28.02.2015 23:29;restart
351;01.03.2015 01:01;wymiana
338;01.03.2015 05:54;restart
351;01.03.2015 06:44;restart
315;01.03.2015 08:41;wymiana
335;01.03.2015 11:31;wymiana
325;01.03.2015 14:02;restart
364;01.03.2015 17:03;restart
335;01.03.2015 20:29;wymiana
324;01.03.2015 21:05;restart
327;01.03.2015 23:14;wymiana
329;02.03.2015 03:22;wymiana
376;02.03.2015 03:41;restart
375;02.03.2015 07:31;wymiana
367;02.03.2015 07:42;wymiana
354;02.03.2015 15:32;wymiana
331;02.03.2015 16:34;wymiana
374;02.03.2015 17:04;restart
358;02.03.2015 18:11;wymiana
368;02.03.2015 19:20;restart
375;02.03.2015 20:08;restart
376;02.03.2015 20:41;restart
365;02.03.2015 20:44;restart
374;02.03.2015 21:32;restart
355;02.03.2015 23:25;wymiana
351;03.03.2015 01:50;wymiana
329;03.03.2015 05:05;restart
373;03.03.2015 06:59;wymiana
368;03.03.2015 08:24;restart
341;03.03.2015 09:20;wymiana
362;03.03.2015 10:18;restart
380;03.03.2015 10:28;restart
371;03.03.2015 10:39;restart
350;03.03.2015 12:18;restart
346;03.03.2015 14:59;restart
375;03.03.2015 17:21;wymiana
383;03.03.2015 23:42;wymiana
347;04.03.2015 02:11;restart
359;04.03.2015 02:26;wymiana
342;04.03.2015 08:27;wymiana
375;04.03.2015 08:32;wymiana
365;04.03.2015 10:18;wymiana
382;04.03.2015 10:54;restart
366;04.03.2015 11:40;restart
343;04.03.2015 12:36;wymiana
375;04.03.2015 18:47;restart
385;05.03.2015 00:31;wymiana
363;05.03.2015 00:51;restart
390;05.03.2015 02:22;restart
353;05.03.2015 04:56;restart
381;05.03.2015 06:53;restart
394;05.03.2015 09:42;wymiana
352;05.03.2015 09:58;wymiana
368;05.03.2015 19:07;restart
364;05.03.2015 19:30;restart
384;06.03.2015 04:26;wymiana
388;06.03.2015 04:56;wymiana
382;06.03.2015 05:24;wymiana
351;06.03.2015 07:17;wymiana
391;06.03.2015 07:37;restart
377;06.03.2015 08:25;wymiana
376;06.03.2015 12:09;wymiana
356;06.03.2015 14:57;wymiana
360;06.03.2015 23:55;restart
382;07.03.2015 00:34;wymiana
384;07.03.2015 04:31;wymiana
374;07.03.2015 05:06;wymiana
399;07.03.2015 07:58;wymiana
380;07.03.2015 08:30;wymiana
406;07.03.2015 10:41;wymiana
406;07.03.2015 13:08;restart
382;07.03.2015 17:11;wymiana
401;07.03.2015 18:23;wymiana
378;07.03.2015 19:13;wymiana
368;07.03.2015 19:14;wymiana
400;07.03.2015 22:53;restart
364;08.03.2015 04:28;restart
406;08.03.2015 05:16;wymiana
389;08.03.2015 05:19;restart
405;08.03.2015 05:31;wymiana
388;08.03.2015 05:57;wymiana
369;08.03.2015 06:07;wymiana
376;08.03.2015 06:48;wymiana
397;08.03.2015 06:57;wymiana
372;08.03.2015 07:52;restart
403;08.03.2015 08:52;wymiana
415;08.03.2015 10:45;wymiana
398;08.03.2015 10:54;wymiana
384;08.03.2015 11:42;wymiana
370;08.03.2015 12:34;wymiana
388;08.03.2015 12:34;restart
406;08.03.2015 12:39;wymiana
384;08.03.2015 13:42;wymiana
413;08.03.2015 14:14;wymiana
395;08.03.2015 15:18;wymiana
382;08.03.2015 17:14;wymiana
407;08.03.2015 17:29;restart
406;08.03.2015 20:57;wymiana
389;08.03.2015 23:13;wymiana
379;08.03.2015 23:41;wymiana
387;09.03.2015 00:16;wymiana
412;09.03.2015 05:17;restart
414;09.03.2015 07:48;restart
384;09.03.2015 09:49;wymiana
421;09.03.2015 09:50;restart
380;09.03.2015 13:32;restart
396;09.03.2015 16:48;restart
413;09.03.2015 17:30;wymiana
409;09.03.2015 17:32;restart
414;09.03.2015 18:29;restart
392;09.03.2015 19:04;wymiana
425;09.03.2015 20:20;restart
408;09.03.2015 20:39;restart
422;09.03.2015 21:00;restart
413;09.03.2015 21:27;restart
420;09.03.2015 21:57;wymiana
417;10.03.2015 05:08;wymiana
431;10.03.2015 08:03;wymiana
399;10.03.2015 14:27;wymiana
428;10.03.2015 14:44;wymiana
425;10.03.2015 14:50;wymiana
434;10.03.2015 20:15;restart
426;10.03.2015 21:30;restart
408;10.03.2015 23:52;restart
437;11.03.2015 00:24;wymiana
426;11.03.2015 02:05;wymiana
418;11.03.2015 03:21;wymiana
413;11.03.2015 07:06;wymiana
386;11.03.2015 10:08;restart
430;11.03.2015 11:48;wymiana
416;11.03.2015 14:02;restart
402;11.03.2015 15:40;restart
410;11.03.2015 16:33;restart
440;11.03.2015 21:51;wymiana
427;11.03.2015 22:57;wymiana
393;11.03.2015 23:58;restart
446;12.03.2015 04:56;wymiana
403;12.03.2015 06:26;wymiana
428;12.03.2015 06:53;wymiana
396;12.03.2015 08:55;wymiana
399;12.03.2015 10:20;wymiana
426;12.03.2015 10:37;wymiana
414;12.03.2015 10:40;wymiana
443;12.03.2015 11:10;restart
449;12.03.2015 11:10;wymiana
449;12.03.2015 12:59;wymiana
403;12.03.2015 14:58;wymiana
428;12.03.2015 17:18;restart
408;12.03.2015 17:25;wymiana
443;12.03.2015 19:50;restart
428;12.03.2015 21:12;wymiana
442;12.03.2015 21:13;restart
447;12.03.2015 21:36;restart
399;12.03.2015 22:41;wymiana
428;12.03.2015 22:43;restart
404;13.03.2015 03:58;wymiana
424;13.03.2015 04:09;wymiana
426;13.03.2015 09:01;restart
410;13.03.2015 11:23;restart
434;13.03.2015 11:30;restart
419;13.03.2015 12:43;wymiana
425;13.03.2015 13:32;restart
435;13.03.2015 14:10;wymiana
432;13.03.2015 15:37;restart
432;13.03.2015 16:22;restart
448;13.03.2015 19:40;wymiana
410;13.03.2015 22:15;restart
408;13.03.2015 22:30;restart
411;14.03.2015 02:26;restart
435;14.03.2015 05:21;restart
433;14.03.2015 08:12;wymiana
423;14.03.2015 12:50;restart
